Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
CellularAutomaton,Rectangle,3472,7.9,99.87,0.72,60.6,8.24,99.87,6.91,63.48,9.21,99.87
Kruskal,Rectangle,4608,6.72,80.36,0.53,45.72,7.14,80.36,4.55,47.09,7.65,79.99
Ellers,Rectangle,1440,6.35,73.48,0.26,21.2,6.66,73.48,2.13,22.45,6.53,67.1
Kruskal,Rectangle,2100,8.02,98,0.92,82.86,7.75,98,8.96,96,8.87,96.75
HuntAndKill,Rectangle,1092,7.25,82.24,1.04,61.6,8.71,82.24,7.48,63.48,8.41,79.86
BinaryTree,Rectangle,2016,3.05,37.84,0.3,26.83,2.82,37.84,2.31,27.52,2.75,31.96
Kruskal,Rectangle,1080,7.18,96.19,0.84,78.36,8.1,96.25,9.08,97.25,9.44,94.5
Sidewinder,Rectangle,3472,4.25,57.85,0.34,29.08,5.76,57.85,2.5,29.08,4.36,42.96
HuntAndKill,Rectangle,2880,6.71,90.49,1.73,80.86,7.92,90.49,8.16,84.93,8.63,90.37
TrivialMaze,Rectangle,3848,7.55,69.73,0.56,35.96,9.43,69.73,5.54,39.77,8.07,64.85
TrivialMaze,Rectangle,2552,6.1,71.36,0.64,57.97,5.87,71.36,6.51,70.98,6.35,71.23
Division,Rectangle,3312,7.75,97.25,0.51,45.22,7.83,97.25,6.08,66.54,9.47,96.12
TrivialMaze,Rectangle,1612,6.2,69.23,0.52,36.59,7.01,69.23,5.32,38.46,7.58,61.1
Division,Square,6400,11.41,70.98,0.54,35.96,10.37,70.98,4.56,34.58,6.22,58.47
Ellers,Rectangle,1584,4.46,61.6,0.51,45.59,5.96,61.6,4.04,44.09,4.52,49.72
Kruskal,Rectangle,3120,5.68,70.73,0.45,38.21,5.99,70.73,3.26,38.46,7,67.1
BacktrackingGenerator,Rectangle,4608,4.48,63.48,0.24,20.45,5.46,63.48,1.85,21.64,5.12,56.6
TrivialMaze,Rectangle,1400,5.21,62.91,1.49,73.11,7.47,62.98,8.57,73.3,5.35,43.09
BacktrackingGenerator,Rectangle,720,4.48,57.97,0.44,35.33,4.75,57.97,3.51,36.9,5.52,51.72
Wilsons,Rectangle,3080,7.06,97.75,1.03,85.99,7.98,97.75,8.52,97.12,8.95,97.75
Division,Square,4356,6.36,84.99,0.88,81.36,7.08,84.99,7.74,84.74,7.47,84.74
AldousBroder,Rectangle,1680,5.39,75.61,0.38,33.08,6.06,75.61,4.65,49.22,5.94,65.73
CellularAutomaton,Rectangle,1520,6.36,64.67,0.77,69.48,6.13,64.73,2.93,26.45,5.45,56.6
Kruskal,Rectangle,4560,6.2,84.99,0.36,31.71,7.02,84.99,2.75,32.08,6.99,78.24
